Distance_(microns),Gray_Value
0.000,906.000
107.759,914.987
215.518,919.977
323.277,917.975
431.036,916.987
538.795,920.016
646.554,920.059
754.313,918.057
862.072,918.066
969.831,922.044
1077.590,922.016
1185.349,918.964
1293.108,920.882
1400.867,926.808
1508.626,926.816
1616.385,924.852
1724.144,928.921
1831.903,930.056
1939.662,928.207
2047.421,930.125
2155.180,931.967
2262.939,928.862
2370.698,929.747
2478.457,933.660
2586.216,935.764
2693.975,935.836
2801.734,929.872
2909.493,925.000
3017.252,926.092
3125.011,934.000
3232.770,942.803
3340.529,943.745
3448.288,937.842
3556.047,934.000
3663.806,934.167
3771.565,939.057
3879.324,939.000
3987.083,932.061
4094.842,926.062
4202.601,920.872
4310.360,924.737
4418.119,934.663
4525.878,938.655
4633.637,936.859
4741.396,939.072
4849.155,942.926
4956.914,945.622
5064.673,948.383
5172.432,951.369
5280.191,954.598
5387.950,956.754
5495.709,958.749
5603.468,962.744
5711.227,960.826
5818.986,953.734
5926.745,953.639
6034.504,957.448
6142.263,957.345
6250.022,956.524
6357.781,957.419
6465.540,963.409
6573.299,970.299
6681.058,965.695
6788.817,958.207
6896.576,957.315
7004.335,959.213
7112.094,962.108
7219.853,967.000
7327.612,970.888
7435.371,975.547
7543.130,977.425
7650.889,975.417
7758.648,970.645
7866.407,964.880
7974.166,962.122
8081.925,964.369
8189.684,971.624
8297.443,977.506
8405.202,977.256
8512.961,972.649
8620.720,969.788
8728.479,970.399
8836.238,971.865
8943.997,969.591
9051.756,967.172
9159.515,967.883
9267.274,972.870
9375.033,973.286
9482.792,973.000
9590.551,974.585
9698.310,974.443
9806.069,972.000
9913.828,973.849
10021.587,975.847
10129.346,974.691
10237.105,973.376
10344.864,974.739
10452.623,978.567
10560.382,984.874
10668.141,988.862
10775.900,983.851
10883.659,978.673
10991.418,980.325
11099.177,982.140
11206.936,986.951
11314.695,991.448
11422.454,992.130
11530.213,988.770
11637.972,979.227
11745.731,970.389
11853.490,969.639
11961.249,978.635
12069.008,986.080
12176.767,987.701
12284.526,989.315
12392.285,985.923
