Distance_(microns),Gray_Value
0.000,1041.000
107.759,2094.000
215.518,1119.974
323.277,1190.863
431.036,1236.818
538.795,1221.935
646.554,1180.000
754.313,1151.954
862.072,1143.948
969.831,1146.883
1077.590,1149.870
1185.349,1149.928
1293.108,1156.000
1400.867,1167.169
1508.626,1174.182
1616.385,1175.902
1724.144,1179.479
1831.903,1184.335
1939.662,1187.531
2047.421,1191.629
2155.180,1190.870
2262.939,1189.137
2370.698,1193.000
2478.457,1203.000
2586.216,1213.156
2693.975,1219.674
2801.734,1217.492
2909.493,1214.176
3017.252,1217.182
3125.011,1223.000
3232.770,1230.805
3340.529,1238.394
3448.288,1235.583
3556.047,1224.430
3663.806,1220.886
3771.565,1222.140
3879.324,1222.407
3987.083,1224.446
4094.842,1229.990
4202.601,1233.254
4310.360,1231.261
4418.119,1230.932
4525.878,1229.632
4633.637,1235.720
4741.396,1247.573
4849.155,1254.120
4956.914,1248.902
5064.673,1245.551
5172.432,1243.749
5280.191,1238.638
5387.950,1231.954
5495.709,1231.661
5603.468,1237.677
5711.227,1243.345
5818.986,1242.648
5926.745,1238.208
6034.504,1235.446
6142.263,1236.257
6250.022,1237.756
6357.781,1237.153
6465.540,1236.563
6573.299,1238.384
6681.058,1240.616
6788.817,1240.000
6896.576,1236.583
7004.335,1232.847
7112.094,1232.430
7219.853,1235.000
7327.612,1239.114
7435.371,1238.651
7543.130,1233.088
7650.889,1229.537
7758.648,1228.469
7866.407,1230.427
7974.166,1234.446
8081.925,1237.000
8189.684,1234.495
8297.443,1230.502
8405.202,1227.016
8512.961,1228.059
8620.720,1231.521
8728.479,1231.417
8836.238,1230.397
8943.997,1232.919
9051.756,1237.000
9159.515,1239.554
9267.274,1245.000
9375.033,1250.000
9482.792,1250.720
9590.551,1247.479
9698.310,1244.932
9806.069,1246.186
9913.828,1251.401
10021.587,1256.182
10129.346,1259.326
10237.105,1257.906
10344.864,1252.375
10452.623,1247.000
10560.382,1246.000
10668.141,1242.645
10775.900,1241.303
10883.659,1243.000
10991.418,1248.335
11099.177,1252.671
11206.936,1253.388
11314.695,1250.736
11422.454,1247.619
11530.213,1248.515
11637.972,1253.889
11745.731,1257.000
11853.490,1257.000
11961.249,1257.831
12069.008,1255.811
12176.767,1254.000
12284.526,1258.485
12392.285,1262.248
12500.044,1261.511
12607.803,1262.476
12715.562,1266.694
12823.321,1269.326
12931.080,1265.472
13038.839,1263.518
13146.598,1264.179
13254.357,1263.801
13362.116,1260.577
13469.875,1259.928
13577.634,1261.075
13685.393,1260.208
13793.152,1258.831
13900.911,1259.000
14008.670,1259.847
14116.429,1261.853
14224.188,1261.860
14331.947,1262.332
14439.706,1260.857
14547.465,1260.795
14655.224,1261.430
14762.983,1260.108
14870.742,1258.707
14978.501,1256.661
15086.260,1258.176
15194.019,1268.081
15301.778,1278.300
15409.537,1279.274
15517.296,1275.124
15625.055,1274.055
15732.814,1276.000
15840.573,1275.042
15948.332,1273.179
16056.091,1273.176
16163.850,1278.046
16271.609,1281.967
16379.368,1277.971
16487.127,1277.994
16594.887,1284.003
16702.645,1290.020
16810.404,1295.033
16918.162,1297.000
17025.922,1296.000
17133.682,1296.000
17241.439,1296.000
17349.199,1297.049
17456.957,1302.055
17564.717,1305.124
17672.477,1308.205
17780.234,1317.150
17887.994,1324.000
17995.754,1324.912
18103.512,1326.811
18211.271,1333.495
18319.029,1337.355
18426.789,1335.544
18534.549,1338.518
18642.307,1343.238
18750.066,1346.332
18857.824,1348.860
18965.584,1346.147
19073.344,1339.612
19181.102,1336.638
19288.861,1339.000
19396.619,1341.309
19504.379,1342.104
19612.139,1342.443
19719.896,1341.192
19827.656,1335.397
19935.414,1329.205
20043.174,1327.000
20150.934,1329.563
20258.691,1327.000
20366.451,1316.231
20474.211,1307.762
20581.969,1304.023
20689.729,1301.997
20797.486,1302.228
20905.246,1301.000
21013.006,1300.270
21120.764,1302.277
21228.523,1303.134
21336.281,1304.449
21444.041,1303.482
21551.801,1298.212
21659.559,1295.547
21767.318,1297.264
21875.076,1297.323
21982.836,1294.658
22090.596,1289.006
22198.354,1283.658
22306.113,1287.606
22413.871,1293.290
22521.631,1290.446
22629.391,1284.208
22737.148,1285.498
22844.908,1291.143
22952.668,1292.388
23060.426,1290.212
23168.186,1288.997
23275.943,1289.964
23383.703,1291.932
23491.463,1292.160
23599.221,1292.427
23706.980,1294.733
23814.738,1294.319
23922.498,1290.446
24030.258,1287.358
24138.016,1285.378
24245.775,1283.397
24353.533,1282.472
24461.293,1284.042
24569.053,1287.603
24676.811,1288.557
24784.570,1288.010
24892.328,1287.476
25000.088,1286.420
25107.848,1284.375
25215.605,1283.427
25323.365,1283.000
