Distance_(microns),Gray_Value
0.000,1235.000
107.770,1482.088
215.540,1874.314
323.311,2208.500
431.081,2296.392
538.851,2136.098
646.621,1874.941
754.392,1644.931
862.162,1496.843
969.932,1414.912
1077.702,1368.000
1185.473,1332.108
1293.243,1312.000
1401.013,1303.127
1508.783,1297.000
1616.553,1291.853
1724.324,1280.843
1832.094,1268.000
1939.864,1264.823
2047.634,1267.814
2155.405,1267.608
2263.175,1268.382
2370.945,1270.353
2478.715,1264.775
2586.486,1259.000
2694.256,1257.245
2802.026,1262.235
2909.796,1265.735
3017.566,1267.000
3125.337,1270.284
3233.107,1275.412
3340.877,1278.480
3448.647,1283.490
3556.418,1286.765
3664.188,1282.667
3771.958,1274.255
3879.728,1270.588
3987.499,1273.275
4095.269,1277.627
4203.039,1275.235
4310.809,1268.823
4418.580,1267.598
4526.350,1270.000
4634.120,1272.157
4741.890,1274.706
4849.661,1278.559
4957.431,1279.353
5065.201,1278.225
5172.971,1277.294
5280.741,1279.441
5388.512,1281.000
5496.282,1282.000
5604.052,1285.529
5711.822,1288.039
5819.593,1288.000
5927.363,1285.078
6035.133,1281.745
6142.903,1279.353
6250.673,1282.275
6358.444,1286.735
6466.214,1288.353
6573.984,1288.794
6681.754,1287.392
6789.525,1284.765
6897.295,1285.745
7005.065,1290.814
7112.835,1292.765
7220.605,1290.402
7328.376,1288.667
7436.146,1289.294
7543.917,1290.941
7651.687,1290.696
7759.457,1290.412
7867.227,1293.147
7974.997,1292.000
8082.768,1288.794
8190.538,1288.255
8298.308,1294.510
8406.078,1301.294
8513.849,1302.647
8621.618,1298.059
8729.389,1298.735
8837.159,1305.235
8944.930,1307.255
9052.699,1303.000
9160.470,1299.000
9268.240,1294.000
9376.010,1288.412
9483.780,1281.039
9591.551,1275.363
9699.321,1272.353
9807.091,1270.647
9914.861,1271.392
10022.632,1280.000
10130.402,1290.686
10238.172,1295.725
10345.942,1296.823
10453.713,1297.951
10561.482,1300.039
10669.253,1300.059
10777.023,1301.078
10884.794,1304.010
10992.563,1305.000
11100.334,1304.039
11208.104,1302.039
11315.874,1297.059
11423.645,1292.039
11531.415,1289.902
11639.186,1290.823
11746.955,1285.863
11854.726,1276.000
11962.496,1272.177
12070.266,1275.098
12178.036,1276.677
12285.807,1274.529
12393.577,1274.745
12501.347,1278.137
12609.117,1284.735
12716.888,1292.098
12824.657,1295.333
12932.428,1294.235
13040.198,1293.118
13147.969,1299.784
13255.738,1311.412
13363.509,1321.569
13471.279,1325.647
13579.050,1328.588
13686.819,1329.020
13794.590,1328.745
13902.360,1328.794
14010.130,1329.373
14117.900,1328.422
14225.671,1322.588
14333.441,1316.392
14441.211,1311.314
14548.981,1304.971
14656.752,1299.667
14764.521,1298.657
14872.292,1300.353
14980.062,1299.363
15087.833,1294.000
15195.603,1290.618
15303.373,1291.784
15411.144,1289.608
15518.913,1283.823
15626.684,1275.843
15734.454,1266.725
15842.225,1263.206
15949.994,1262.255
16057.765,1261.382
16165.535,1264.882
16273.305,1271.402
16381.075,1275.941
16488.846,1276.000
16596.615,1274.510
16704.387,1276.480
16812.156,1276.471
