Distance_(microns),Gray_Value
0.000,937.000
107.759,948.007
215.518,954.026
323.277,953.059
431.036,953.130
538.795,958.033
646.554,957.883
754.313,953.818
862.072,950.687
969.831,947.707
1077.590,943.935
1185.349,939.072
1293.108,937.765
1400.867,937.661
1508.626,940.453
1616.385,948.121
1724.144,955.270
1831.903,957.000
1939.662,960.352
2047.421,963.371
2155.180,959.391
2262.939,958.137
2370.698,960.143
2478.457,958.850
2586.216,958.218
2693.975,963.186
2801.734,969.492
2909.493,970.824
3017.252,966.182
3125.011,962.567
3232.770,965.391
3340.529,973.000
3448.288,975.000
3556.047,973.000
3663.806,971.779
3771.565,970.544
3879.324,972.531
3987.083,975.036
4094.842,977.752
4202.601,978.016
4310.360,976.303
4418.119,975.801
4525.878,977.547
4633.637,979.840
4741.396,979.720
4849.155,979.759
4956.914,980.199
5064.673,979.225
5172.432,982.251
5280.191,987.596
5387.950,984.303
5495.709,980.664
5603.468,987.016
5711.227,998.381
5818.986,1007.704
5926.745,1015.000
6034.504,1019.906
6142.263,1019.143
6250.022,1016.489
6357.781,1019.384
6465.540,1027.563
6573.299,1035.205
6681.058,1046.153
6788.817,1064.844
6896.576,1085.746
7004.335,1097.495
7112.094,1102.560
7219.853,1108.508
7327.612,1116.684
7435.371,1124.707
7543.130,1132.072
7650.889,1139.300
7758.648,1146.062
7866.407,1147.951
7974.166,1147.000
8081.925,1144.023
8189.684,1147.515
8297.443,1157.994
8405.202,1167.967
8512.961,1173.912
8620.720,1177.831
8728.479,1181.834
8836.238,1185.863
8943.997,1188.459
9051.756,1190.547
9159.515,1194.661
9267.274,1191.801
9375.033,1188.834
9482.792,1191.293
9590.551,1195.160
9698.310,1193.827
9806.069,1190.629
9913.828,1188.202
10021.587,1191.000
10129.346,1196.449
10237.105,1199.857
10344.864,1199.251
10452.623,1199.264
10560.382,1196.554
10668.141,1193.870
10775.900,1194.560
10883.659,1197.922
10991.418,1197.980
11099.177,1194.697
11206.936,1194.033
11314.695,1194.420
11422.454,1193.453
11530.213,1194.394
11637.972,1190.296
11745.731,1182.000
11853.490,1182.433
11961.249,1189.892
12069.008,1192.378
12176.767,1192.153
12284.526,1192.971
12392.285,1195.997
12500.044,1196.778
12607.803,1194.573
12715.562,1192.075
12823.321,1191.551
12931.080,1193.873
13038.839,1198.270
13146.598,1200.821
13254.357,1197.199
13362.116,1192.808
13469.875,1190.629
13577.634,1191.000
13685.393,1196.173
13793.152,1201.000
13900.911,1202.521
14008.670,1201.388
14116.429,1202.267
14224.188,1203.440
14331.947,1203.599
14439.706,1207.365
14547.465,1211.036
14655.224,1210.974
14762.983,1207.248
14870.742,1201.394
14978.501,1195.244
15086.260,1188.472
15194.019,1182.837
15301.778,1185.925
15409.537,1192.726
15517.296,1192.691
15625.055,1193.889
15732.814,1198.951
15840.573,1206.746
15948.332,1212.606
16056.091,1215.648
16163.850,1218.795
16271.609,1218.935
16379.368,1216.971
16487.127,1215.984
16594.887,1218.013
16702.645,1217.088
16810.404,1214.114
16918.162,1209.114
17025.922,1208.176
17133.682,1207.358
17241.439,1203.551
17349.199,1203.537
17456.957,1208.388
17564.717,1212.309
17672.477,1209.205
17780.234,1203.225
17887.994,1204.570
17995.754,1203.880
18103.512,1200.661
18211.271,1203.202
18319.029,1206.892
18426.789,1206.342
18534.549,1207.603
18642.307,1207.762
18750.066,1204.801
18857.824,1203.560
18965.584,1208.000
19073.344,1209.000
19181.102,1207.638
19288.861,1209.163
