Distance_(microns),Gray_Value
0.000,1193.000
107.759,1194.973
215.518,1192.945
323.277,1187.918
431.036,1183.055
538.795,1183.412
646.554,1185.741
754.313,1186.769
862.072,1186.549
969.831,1185.618
1077.590,1187.549
1185.349,1192.302
1293.108,1194.329
1400.867,1193.714
1508.626,1188.769
1616.385,1187.000
1724.144,1191.341
1831.903,1192.300
1939.662,1188.753
2047.421,1187.261
2155.180,1187.549
2262.939,1185.576
2370.698,1183.906
2478.457,1184.210
2586.216,1184.306
2693.975,1181.029
2801.734,1179.714
2909.493,1180.482
3017.252,1180.769
3125.011,1180.796
3232.770,1180.471
3340.529,1179.978
3448.288,1178.074
3556.047,1176.171
3663.806,1178.800
3771.565,1184.922
3879.324,1195.482
3987.083,1201.539
4094.842,1196.173
4202.601,1189.747
4310.360,1186.647
4418.119,1186.125
4525.878,1187.306
4633.637,1189.312
4741.396,1190.643
4849.155,1193.323
4956.914,1195.788
5064.673,1193.516
5172.432,1193.271
5280.191,1195.380
5387.950,1195.177
5495.709,1195.000
5603.468,1194.851
5711.227,1195.275
5818.986,1191.929
5926.745,1184.775
6034.504,1182.537
6142.263,1184.000
6250.022,1185.592
6357.781,1186.429
6465.540,1186.294
6573.299,1187.861
6681.058,1189.808
6788.817,1189.918
6896.576,1188.784
7004.335,1189.922
7112.094,1198.965
7219.853,1208.196
7327.612,1209.333
7435.371,1203.629
7543.130,1196.922
7650.889,1195.974
7758.648,1197.953
7866.407,1201.008
7974.166,1204.016
8081.925,1202.971
8189.684,1199.871
8297.443,1197.943
8405.202,1198.282
8512.961,1198.675
8620.720,1199.588
8728.479,1194.671
8836.238,1191.004
8943.997,1192.696
9051.756,1189.765
9159.515,1186.833
9267.274,1189.345
9375.033,1194.747
9482.792,1197.247
9590.551,1198.108
9698.310,1194.706
9806.069,1191.747
9913.828,1193.576
10021.587,1199.659
10129.346,1200.451
10237.105,1200.520
10344.864,1200.271
10452.623,1201.325
10560.382,1205.690
10668.141,1207.000
10775.900,1204.373
10883.659,1204.159
10991.418,1206.200
11099.177,1205.000
11206.936,1196.573
11314.695,1192.000
11422.454,1192.365
11530.213,1194.812
11637.972,1196.482
11745.731,1192.512
11853.490,1187.000
11961.249,1185.665
12069.008,1191.447
12176.767,1199.714
12284.526,1204.341
12392.285,1206.206
12500.044,1208.145
12607.803,1208.847
12715.562,1205.957
12823.321,1203.700
12931.080,1203.235
13038.839,1202.982
13146.598,1205.373
13254.357,1208.506
13362.116,1208.318
13469.875,1209.725
13577.634,1211.918
13685.393,1211.743
13793.152,1207.486
13900.911,1204.459
14008.670,1208.216
14116.429,1213.798
14224.188,1214.247
14331.947,1214.127
14439.706,1218.035
14547.465,1223.412
14655.224,1226.600
14762.983,1224.641
14870.742,1216.000
14978.501,1212.000
15086.260,1217.686
15194.019,1222.482
15301.778,1220.541
15409.537,1217.739
15517.296,1215.882
15625.055,1212.980
15732.814,1214.988
15840.573,1220.965
15948.332,1226.031
16056.091,1227.180
16163.850,1230.235
16271.609,1237.363
16379.368,1240.431
16487.127,1237.200
16594.887,1232.114
16702.645,1226.255
16810.404,1222.424
16918.162,1221.929
17025.922,1224.180
17133.682,1227.276
17241.439,1228.784
17349.199,1226.210
17456.957,1223.447
17564.717,1224.424
17672.477,1224.259
17780.234,1223.118
17887.994,1225.392
17995.754,1229.584
18103.512,1229.224
18211.271,1230.959
18319.029,1235.333
18426.789,1236.735
18534.549,1236.443
18642.307,1238.124
18750.066,1239.776
18857.824,1239.206
18965.584,1240.663
19073.344,1248.576
19181.102,1256.329
19288.861,1257.086
19396.619,1249.588
19504.379,1243.063
19612.139,1242.012
19719.896,1242.929
19827.656,1241.898
19935.414,1243.922
20043.174,1247.447
20150.934,1249.133
20258.691,1250.322
20366.451,1250.376
20474.211,1244.823
20581.969,1240.865
20689.729,1240.541
20797.486,1242.298
20905.246,1244.000
21013.006,1239.353
21120.764,1237.141
21228.523,1236.927
21336.281,1236.306
21444.041,1239.120
21551.801,1247.216
21659.559,1253.794
21767.318,1254.863
21875.076,1255.504
21982.836,1255.800
22090.596,1256.627
22198.354,1256.000
22306.113,1251.841
22413.871,1249.275
22521.631,1249.080
22629.391,1247.177
22737.148,1246.376
22844.908,1252.639
22952.666,1259.694
23060.426,1261.624
23168.186,1257.706
23275.943,1253.753
23383.703,1252.871
23491.463,1250.961
23599.221,1250.012
23706.980,1254.078
23814.738,1259.133
23922.498,1257.471
24030.258,1256.669
24138.016,1257.671
24245.775,1261.353
24353.533,1263.204
24461.293,1263.231
24569.053,1260.518
24676.811,1255.002
24784.570,1253.627
24892.328,1253.171
25000.088,1252.369
25107.848,1249.792
25215.605,1249.847
25323.365,1256.225
25431.123,1261.522
25538.883,1264.747
25646.643,1267.733
25754.400,1267.280
25862.160,1265.177
25969.920,1265.616
26077.678,1266.678
26185.438,1262.665
26293.195,1260.047
26400.955,1262.902
26508.715,1266.012
26616.473,1265.731
26724.232,1261.020
26831.990,1258.671
26939.750,1259.157
27047.510,1258.671
27155.268,1259.212
27263.027,1259.835
27370.785,1259.404
27478.545,1259.000
27586.305,1256.651
27694.062,1249.802
27801.822,1247.412
27909.580,1253.549
28017.340,1255.823
28125.100,1254.988
28232.857,1253.980
28340.617,1256.220
28448.377,1263.494
28556.135,1267.912
28663.895,1269.651
28771.652,1270.329
28879.412,1275.035
28987.172,1285.769
29094.930,1289.235
29202.689,1285.037
29310.447,1285.600
29418.207,1289.471
29525.967,1290.086
29633.725,1291.098
29741.484,1290.365
29849.242,1288.406
29957.002,1291.447
30064.762,1293.318
30172.520,1291.373
30280.279,1291.284
30388.037,1294.353
30495.797,1298.306
30603.557,1299.286
30711.314,1297.647
30819.074,1299.776
30926.832,1308.574
31034.592,1312.576
31142.352,1309.800
31250.109,1307.843
31357.869,1309.929
31465.629,1306.102
31573.387,1300.302
31681.146,1303.318
31788.904,1308.245
31896.664,1310.188
32004.424,1310.306
32112.182,1311.541
32219.941,1311.935
32327.699,1311.294
32435.459,1313.445
32543.219,1318.016
32650.977,1321.159
32758.736,1320.827
32866.496,1317.186
32974.254,1312.800
33082.012,1315.855
33189.773,1317.365
33297.531,1312.412
33405.289,1312.804
33513.051,1321.149
33620.809,1329.976
33728.566,1331.369
33836.324,1325.169
33944.086,1319.941
34051.844,1322.686
34159.602,1324.755
34267.363,1321.823
34375.121,1320.135
34482.879,1321.392
34590.641,1324.812
34698.398,1324.098
34806.156,1322.733
34913.914,1326.682
35021.676,1328.765
35129.434,1330.796
35237.191,1332.882
35344.953,1332.020
35452.711,1330.610
35560.469,1331.235
35668.230,1334.518
35775.988,1337.239
35883.746,1341.276
35991.508,1344.843
36099.266,1344.578
36207.023,1342.118
36314.781,1340.255
36422.543,1339.474
36530.301,1341.959
36638.059,1342.333
36745.820,1342.082
36853.578,1346.859
36961.336,1351.955
37069.098,1357.608
37176.855,1359.206
37284.613,1353.000
37392.371,1349.526
37500.133,1348.882
37607.891,1348.951
37715.648,1349.216
37823.410,1352.088
37931.168,1355.482
38038.926,1353.296
38146.688,1348.588
38254.445,1345.980
38362.203,1348.545
38469.965,1352.700
38577.723,1354.396
38685.480,1355.202
38793.238,1352.294
38901.000,1348.594
39008.758,1350.780
39116.516,1354.894
39224.277,1353.980
39332.035,1354.098
39439.793,1355.188
39547.555,1354.261
39655.312,1351.306
39763.070,1347.388
39870.828,1344.706
39978.590,1344.014
40086.348,1346.271
40194.105,1345.435
40301.867,1348.067
40409.625,1352.294
40517.383,1353.000
40625.145,1352.524
40732.902,1353.941
40840.660,1354.202
40948.422,1349.569
41056.180,1347.771
41163.938,1352.729
41271.695,1355.027
41379.457,1356.812
41487.215,1359.569
41594.973,1359.894
41702.734,1357.559
41810.492,1359.953
41918.250,1362.357
42026.012,1358.353
42133.770,1355.733
42241.527,1353.761
42349.285,1352.971
42457.047,1353.855
42564.805,1353.529
42672.562,1351.741
42780.324,1352.347
42888.082,1351.314
42995.840,1349.906
43103.602,1351.490
43211.359,1353.504
43319.117,1354.518
43426.879,1355.531
43534.637,1354.545
43642.395,1354.559
43750.152,1355.855
43857.914,1357.586
43965.672,1360.800
44073.430,1364.455
44181.191,1363.137
44288.949,1361.488
44396.707,1361.549
44504.469,1362.355
44612.227,1362.141
44719.984,1360.873
44827.742,1357.549
44935.504,1355.447
45043.262,1353.474
45151.020,1350.502
45258.781,1351.059
45366.539,1355.671
45474.297,1359.961
45582.059,1361.612
45689.816,1358.180
45797.574,1354.333
45905.332,1352.847
46013.094,1355.582
46120.852,1361.624
46228.609,1361.553
46336.371,1358.412
46444.129,1356.410
46551.887,1359.365
46659.648,1368.431
46767.406,1376.655
46875.164,1376.912
46982.926,1378.937
47090.684,1377.984
47198.441,1368.035
47306.199,1361.204
47413.961,1363.392
47521.719,1364.476
47629.477,1366.333
47737.238,1369.322
47844.996,1369.565
47952.754,1366.971
48060.516,1365.094
48168.273,1361.947
48276.031,1358.894
48383.789,1362.139
48491.551,1370.529
48599.309,1372.810
48707.066,1368.796
48814.828,1367.000
48922.586,1369.231
49030.344,1370.490
49138.105,1378.518
49245.863,1390.000
49353.621,1391.714
49461.383,1383.700
49569.141,1371.627
49676.898,1364.965
49784.656,1364.388
49892.418,1362.129
50000.176,1359.106
50107.934,1361.529
50215.695,1367.376
50323.453,1371.639
50431.211,1370.424
50538.973,1369.251
50646.730,1374.196
50754.488,1383.071
50862.246,1390.957
50970.008,1390.476
51077.766,1384.518
51185.523,1380.559
51293.285,1381.600
51401.043,1386.094
51508.801,1385.682
51616.562,1382.022
51724.320,1378.294
51832.078,1376.214
51939.840,1381.616
52047.598,1390.000
52155.355,1392.286
52263.113,1388.971
52370.875,1386.682
52478.633,1391.106
52586.391,1395.282
52694.152,1399.829
52801.910,1401.980
52909.668,1398.175
53017.430,1395.765
53125.188,1399.300
53232.945,1399.561
53340.703,1399.000
53448.465,1403.192
53556.223,1408.465
53663.980,1408.177
53771.742,1400.547
53879.500,1395.725
53987.258,1395.506
54095.020,1395.231
54202.777,1397.424
54310.535,1402.835
54418.297,1408.931
54526.055,1412.890
54633.812,1415.794
54741.570,1415.780
54849.332,1409.931
54957.090,1404.000
