Distance_(microns),Gray_Value
0.000,1237.000
107.759,1234.150
215.518,1238.239
323.277,1247.090
431.036,1254.641
538.795,1257.252
646.554,1255.102
754.313,1250.791
862.072,1246.479
969.831,1247.192
1077.590,1250.204
1185.349,1255.012
1293.108,1259.359
1400.867,1257.389
1508.626,1250.419
1616.385,1244.000
1724.144,1240.479
1831.903,1243.018
1939.662,1253.078
2047.421,1263.569
2155.180,1267.796
2262.939,1269.514
2370.698,1266.292
2478.457,1260.754
2586.216,1257.000
2693.975,1257.252
2801.734,1257.222
2909.493,1254.768
3017.252,1252.134
3125.011,1253.924
3232.770,1258.408
3340.529,1259.928
3448.288,1253.958
3556.047,1251.988
3663.806,1259.106
3771.565,1264.333
3879.324,1262.387
3987.083,1254.215
4094.842,1251.000
4202.601,1254.000
4310.360,1260.803
4418.119,1260.637
4525.878,1257.201
4633.637,1258.139
4741.396,1258.000
4849.155,1258.041
4956.914,1259.130
5064.673,1260.407
5172.432,1263.127
5280.191,1267.600
5387.950,1269.518
5495.709,1265.842
5603.468,1258.662
5711.227,1253.482
5818.986,1252.535
5926.745,1256.708
6034.504,1258.296
6142.263,1256.764
6250.022,1251.849
6357.781,1249.703
6465.540,1252.408
6573.299,1255.174
6681.058,1253.000
6788.817,1249.000
6896.576,1247.000
7004.335,1249.945
7112.094,1250.975
7219.853,1247.989
7327.612,1244.106
7435.371,1243.586
7543.130,1243.236
7650.889,1245.375
7758.648,1254.084
7866.407,1260.185
7974.166,1255.000
8081.925,1251.979
8189.684,1249.373
8297.443,1242.609
8405.202,1239.996
8512.961,1244.271
8620.720,1247.394
8728.479,1249.424
8836.238,1255.363
8943.997,1263.453
9051.756,1266.028
9159.515,1264.000
9267.274,1261.574
9375.033,1257.812
9482.792,1251.535
9590.551,1249.991
9698.310,1254.694
9806.069,1259.724
9913.828,1260.754
10021.587,1259.433
10129.346,1258.746
10237.104,1260.313
10344.864,1264.000
10452.623,1266.097
10560.382,1267.000
10668.141,1267.926
10775.900,1267.993
10883.659,1266.977
10991.418,1267.106
11099.177,1268.248
11206.936,1268.225
11314.695,1263.570
11422.454,1258.208
11530.213,1257.417
11637.972,1259.930
11745.731,1259.000
11853.490,1256.708
11961.249,1259.356
12069.008,1260.944
12176.767,1257.382
12284.526,1258.000
12392.285,1263.791
12500.044,1267.113
12607.803,1266.502
12715.562,1263.127
12823.321,1260.370
12931.080,1260.958
13038.839,1263.621
13146.598,1268.349
13254.357,1271.637
13362.116,1268.155
13469.875,1263.294
13577.634,1263.458
13685.393,1268.801
13793.152,1275.493
13900.911,1278.583
14008.670,1275.782
14116.429,1269.921
14224.188,1265.000
14331.947,1264.981
14439.706,1264.021
14547.465,1259.162
14655.224,1256.282
14762.983,1257.703
14870.742,1262.782
14978.501,1264.000
15086.260,1258.430
15194.019,1252.000
15301.778,1250.000
15409.537,1250.120
