Distance_(microns),Gray_Value
0.000,1009.000
107.759,1008.000
215.518,1011.931
323.277,1010.862
431.036,1006.862
538.795,1006.857
646.554,1007.000
754.313,1006.080
862.072,1002.954
969.831,1001.845
1077.590,1000.115
1185.349,1001.253
1293.108,1004.413
1400.867,1004.522
1508.626,1004.884
1616.385,1008.291
1724.144,1010.377
1831.903,1015.268
1939.662,1022.446
2047.421,1028.636
2155.180,1030.836
2262.939,1028.169
2370.698,1026.273
2478.457,1025.244
2586.216,1027.204
2693.975,1032.865
2801.734,1037.343
2909.493,1037.085
3017.252,1037.125
3125.011,1038.664
3232.770,1041.549
3340.529,1046.067
3448.288,1051.551
3556.047,1055.000
3663.806,1053.000
3771.565,1052.799
3879.324,1052.793
3987.083,1048.212
4094.842,1041.872
4202.601,1043.119
4310.360,1051.607
4418.119,1060.882
4525.878,1068.169
4633.637,1073.468
4741.396,1079.273
4849.155,1088.808
4956.914,1101.112
5064.673,1111.967
5172.432,1117.030
5280.191,1125.812
5387.950,1136.017
5495.709,1138.098
5603.468,1135.984
5711.227,1133.433
5818.986,1131.859
5926.745,1137.947
6034.504,1144.607
6142.263,1148.944
6250.022,1151.660
6357.781,1154.079
6465.540,1156.755
6573.299,1160.400
6681.058,1170.135
6788.817,1182.531
6896.576,1186.571
7004.335,1185.357
7112.094,1189.409
7219.853,1190.692
7327.612,1186.732
7435.371,1184.564
7543.130,1188.419
7650.889,1189.482
7758.648,1190.372
7866.407,1195.189
7974.166,1198.699
8081.925,1204.000
8189.684,1207.872
8297.443,1211.209
8405.202,1215.238
8512.961,1214.000
8620.720,1209.000
8728.479,1209.930
8836.238,1213.471
8943.997,1217.047
9051.756,1222.143
9159.515,1226.122
9267.274,1226.532
9375.033,1226.499
9482.792,1231.020
9590.551,1237.043
9698.310,1235.583
9806.069,1234.133
9913.828,1234.640
10021.587,1233.736
10129.346,1234.395
10237.105,1239.542
10344.864,1242.162
10452.623,1240.453
10560.382,1237.687
10668.141,1237.136
10775.900,1239.574
10883.659,1242.420
10991.418,1238.073
11099.177,1234.271
11206.936,1235.419
11314.695,1237.987
11422.454,1235.567
11530.213,1234.158
11637.972,1233.760
11745.731,1234.123
11853.490,1235.737
11961.249,1236.274
12069.008,1232.857
12176.767,1229.539
12284.526,1231.925
12392.285,1233.640
12500.044,1229.000
12607.803,1223.986
12715.562,1224.614
12823.321,1231.585
12931.080,1237.245
13038.839,1238.611
13146.598,1239.000
13254.357,1237.294
13362.116,1232.865
13469.875,1231.848
13577.634,1232.277
13685.393,1230.000
13793.152,1234.469
13900.911,1242.702
14008.670,1243.476
14116.429,1244.511
14224.188,1249.030
14331.947,1248.710
14439.706,1242.848
14547.465,1240.352
14655.224,1238.000
14762.983,1235.573
14870.742,1238.584
14978.501,1243.393
15086.260,1243.017
15194.019,1240.237
15301.778,1239.445
15409.537,1235.462
15517.296,1229.132
15625.055,1228.161
15732.814,1229.352
15840.573,1228.531
15948.332,1226.849
16056.091,1226.290
16163.850,1228.139
16271.609,1230.267
16379.368,1231.255
16487.127,1232.000
16594.887,1232.303
