Distance_(microns),Gray_Value
0.000,937.000
107.759,948.006
215.518,954.023
323.277,953.052
431.036,953.115
538.795,958.029
646.554,957.897
754.313,953.839
862.072,950.725
969.831,947.742
1077.590,943.943
1185.349,939.063
1293.108,937.793
1400.867,937.702
1508.626,940.518
1616.385,948.225
1724.144,955.357
1831.903,957.000
1939.662,960.310
2047.421,963.327
2155.180,959.344
2262.939,958.121
2370.698,960.126
2478.457,958.868
2586.216,958.311
2693.975,963.283
2801.734,969.552
2909.493,970.845
3017.252,966.161
3125.011,962.499
3232.770,965.344
3340.529,973.000
3448.288,975.000
3556.047,973.000
3663.806,971.805
3771.565,970.598
3879.324,972.587
3987.083,975.151
4094.842,977.782
4202.601,977.895
4310.360,976.148
4418.119,975.706
4525.878,977.482
4633.637,979.740
4741.396,979.515
4849.155,979.549
4956.914,980.056
5064.673,979.079
5172.432,982.102
5280.191,987.406
5387.950,984.148
5495.709,980.585
5603.468,986.895
5711.227,998.217
5818.986,1007.620
5926.745,1015.000
6034.504,1020.036
6142.263,1019.364
6250.022,1016.669
6357.781,1019.339
6465.540,1027.377
6573.299,1035.300
6681.058,1046.730
6788.817,1065.577
6896.576,1086.491
7004.335,1098.151
7112.094,1102.970
7219.853,1108.924
7327.612,1117.317
7435.371,1125.456
7543.130,1132.778
7650.889,1139.740
7758.648,1146.174
7866.407,1147.838
7974.166,1147.000
8081.925,1144.139
8189.684,1147.692
8297.443,1158.232
8405.202,1168.209
8512.961,1174.280
8620.720,1178.327
8728.479,1182.211
8836.238,1186.118
8943.997,1188.524
9051.756,1190.482
9159.515,1194.463
9267.274,1191.468
9375.033,1188.496
9482.792,1191.020
9590.551,1195.021
9698.310,1193.967
9806.069,1190.911
9913.828,1188.416
10021.587,1191.000
10129.346,1196.158
10237.105,1199.636
10344.864,1199.102
10452.623,1199.113
10560.382,1196.250
10668.141,1193.409
10775.900,1194.017
10883.659,1197.217
10991.418,1197.268
11099.177,1194.138
11206.936,1193.791
11314.695,1194.013
11422.454,1193.042
11530.213,1194.228
11637.972,1190.380
11745.731,1182.000
11853.490,1182.263
11961.249,1189.548
12069.008,1191.857
12176.767,1191.539
12284.526,1192.617
12392.285,1195.640
12500.044,1196.328
12607.803,1194.029
12715.562,1191.709
12823.321,1191.366
12931.080,1194.245
13038.839,1198.834
13146.598,1201.199
13254.357,1197.294
13362.116,1192.712
13469.875,1190.435
13577.634,1191.000
13685.393,1196.271
13793.152,1201.000
13900.911,1202.221
14008.670,1200.984
14116.429,1201.759
14224.188,1203.030
14331.947,1203.290
14439.706,1206.845
14547.465,1210.198
14655.224,1210.024
14762.983,1206.504
14870.742,1200.752
14978.501,1194.382
15086.260,1187.821
15194.019,1182.618
15301.778,1185.815
15409.537,1192.283
15517.296,1192.132
15625.055,1193.664
15732.814,1198.838
15840.573,1206.062
15948.332,1211.343
16056.091,1214.261
16163.850,1217.747
16271.609,1218.466
16379.368,1216.617
16487.127,1215.390
16594.887,1216.722
16702.645,1215.564
16810.404,1212.953
16918.162,1208.604
17025.922,1207.720
17133.682,1206.562
17241.439,1202.509
17349.199,1202.544
17456.957,1207.578
17564.717,1211.613
17672.477,1208.765
17780.234,1202.841
17887.994,1203.716
17995.754,1202.750
18103.512,1199.785
18211.271,1202.789
18319.029,1206.829
18426.789,1205.925
18534.549,1206.935
18642.307,1206.964
18750.066,1203.990
18857.824,1203.017
18965.584,1208.000
19073.344,1209.000
19181.102,1207.086
19288.861,1208.191
19396.619,1207.198
19504.379,1205.000
19612.139,1203.822
19719.896,1203.900
19827.656,1205.112
19935.414,1210.247
20043.174,1213.270
20150.934,1208.366
20258.691,1199.552
20366.451,1194.677
20474.211,1197.542
20581.969,1202.577
20689.729,1198.713
20797.486,1189.861
20905.246,1188.020
21013.006,1197.072
21120.764,1209.999
21228.523,1219.131
21336.281,1217.591
21444.041,1218.284
21551.801,1222.330
21659.559,1223.303
21767.318,1221.707
21875.076,1218.805
21982.836,1216.561
22090.596,1216.118
22198.354,1217.640
22306.113,1218.504
22413.871,1219.356
22521.631,1217.997
22629.391,1214.821
22737.148,1212.633
22844.908,1209.083
22952.668,1208.557
23060.426,1207.912
23168.186,1209.234
23275.943,1211.958
23383.703,1216.717
23491.463,1218.255
23599.221,1219.743
23706.980,1223.475
23814.738,1224.268
23922.498,1220.644
24030.258,1220.238
24138.016,1225.142
24245.775,1229.709
24353.533,1226.406
24461.293,1221.000
24569.053,1215.308
24676.811,1211.314
24784.570,1212.640
24892.328,1219.326
25000.088,1227.331
25107.848,1231.674
25215.605,1234.686
25323.365,1242.000
25431.123,1245.000
25538.883,1239.360
25646.643,1233.732
25754.400,1229.486
25862.160,1227.641
25969.920,1230.065
26077.678,1232.722
26185.438,1234.578
26293.195,1232.801
26400.955,1227.406
26508.715,1226.235
26616.473,1230.670
26724.232,1232.693
26831.990,1230.287
26939.750,1229.435
27047.510,1231.881
27155.268,1233.339
27263.027,1234.356
27370.785,1239.373
27478.545,1241.854
27586.305,1240.407
27694.062,1240.475
27801.822,1241.481
27909.580,1242.459
28017.340,1244.476
28125.100,1252.000
28232.857,1256.489
28340.617,1253.453
28448.377,1246.455
28556.135,1239.438
28663.895,1235.841
28771.652,1236.274
28879.412,1237.848
28987.172,1241.369
29094.930,1245.901
29202.689,1250.000
29310.447,1252.000
29418.207,1250.867
29525.967,1243.710
29633.725,1239.109
29741.484,1238.496
29849.242,1240.641
29957.002,1242.214
30064.762,1240.601
30172.520,1242.034
30280.279,1243.288
30388.037,1243.565
30495.797,1245.369
30603.557,1252.779
30711.314,1258.813
30819.074,1261.131
30926.832,1262.823
31034.592,1261.570
31142.352,1257.659
31250.109,1253.343
31357.869,1249.990
31465.629,1252.027
31573.387,1254.770
31681.146,1254.185
31788.904,1251.158
31896.664,1253.699
32004.424,1260.000
32112.182,1262.000
32219.941,1258.716
32327.699,1256.165
32435.459,1253.727
32543.219,1250.267
32650.977,1251.478
32758.736,1256.979
32866.496,1262.001
32974.254,1264.561
33082.012,1264.380
33189.773,1263.908
33297.531,1264.093
33405.289,1264.558
33513.051,1264.570
33620.809,1263.162
33728.566,1259.574
33836.324,1256.208
33944.086,1253.808
34051.844,1253.627
34159.602,1252.277
34267.363,1252.300
34375.121,1256.831
34482.879,1260.327
34590.641,1264.158
34698.398,1267.152
34806.156,1267.854
34913.914,1267.438
35021.676,1266.730
35129.434,1266.129
35237.191,1262.123
35344.953,1261.647
35452.711,1267.105
35560.469,1270.151
35668.230,1269.297
35775.988,1263.526
35883.746,1260.644
35991.508,1261.584
36099.266,1261.535
36207.023,1262.498
36314.781,1262.604
36422.543,1262.578
36530.301,1263.455
36638.059,1261.463
36745.820,1254.526
36853.578,1251.627
36961.336,1257.684
37069.098,1260.690
37176.855,1259.759
37284.613,1255.928
37392.371,1256.983
37500.133,1264.989
37607.891,1269.014
37715.648,1270.069
37823.410,1271.129
37931.168,1276.181
38038.926,1287.052
38146.688,1290.937
38254.445,1286.963
38362.203,1288.000
38469.965,1291.951
38577.723,1292.055
38685.480,1292.241
38793.238,1291.396
38901.000,1289.359
39008.758,1292.310
39116.516,1294.333
39224.277,1292.623
39332.035,1292.663
39439.793,1295.402
39547.555,1299.637
39655.312,1300.895
39763.070,1298.941
39870.828,1300.864
39978.590,1309.646
40086.348,1313.539
40194.105,1310.422
40301.867,1308.732
40409.625,1311.369
40517.383,1308.052
40625.145,1302.290
40732.902,1304.524
40840.660,1308.875
40948.422,1310.542
41056.180,1310.746
41163.938,1312.154
41271.695,1312.782
41379.457,1312.241
41487.215,1314.304
41594.973,1318.506
41702.734,1321.221
41810.492,1320.773
41918.250,1317.232
42026.012,1312.953
42133.770,1315.976
42241.527,1317.498
42349.285,1312.554
42457.047,1312.872
42564.805,1321.135
42672.562,1329.908
42780.324,1331.227
42888.082,1324.989
42995.840,1319.739
43103.602,1322.478
43211.359,1324.506
43319.117,1321.535
43426.879,1319.938
43534.637,1321.318
43642.395,1324.648
43750.152,1323.650
43857.914,1322.343
43965.672,1326.049
44073.430,1328.083
44181.191,1329.823
44288.949,1331.587
44396.707,1330.644
44504.469,1329.591
44612.227,1330.007
44719.984,1332.580
44827.742,1335.036
44935.504,1339.324
45043.262,1342.989
45151.020,1342.451
45258.781,1340.103
45366.539,1338.161
45474.297,1337.953
45582.059,1341.283
45689.816,1341.867
45797.574,1340.634
45905.336,1345.113
46013.094,1350.154
46120.852,1356.281
46228.609,1358.386
46336.371,1353.000
46444.129,1348.947
46551.887,1347.396
46659.648,1347.425
46767.406,1347.963
46875.164,1350.482
46982.926,1352.519
47090.684,1349.587
47198.441,1345.136
47306.199,1343.155
47413.961,1347.100
47521.719,1351.593
47629.477,1351.756
47737.238,1350.966
47844.996,1347.577
47952.754,1344.984
48060.516,1347.917
48168.273,1352.392
48276.031,1351.855
48383.789,1351.884
48491.551,1352.078
48599.309,1349.882
48707.066,1346.940
48814.828,1343.798
48922.586,1342.027
49030.344,1341.834
49138.105,1343.085
49245.863,1342.113
49353.621,1345.885
49461.383,1351.268
49569.141,1351.920
49676.898,1350.228
49784.656,1350.560
49892.418,1352.286
50000.176,1350.000
50107.934,1348.000
50215.695,1351.023
50323.453,1352.400
50431.211,1354.115
50538.973,1355.915
50646.730,1355.367
50754.488,1352.733
50862.246,1355.088
50970.008,1358.430
51077.766,1356.601
51185.523,1353.904
51293.285,1351.659
51401.043,1349.162
51508.801,1348.689
51616.562,1349.494
51724.320,1349.755
51832.078,1350.760
51939.840,1348.298
52047.598,1347.088
52155.355,1349.666
52263.113,1352.133
52370.875,1353.578
52478.633,1354.795
52586.391,1353.601
52694.152,1353.225
52801.910,1355.684
52909.668,1355.907
53017.430,1357.941
53125.188,1360.805
53232.945,1358.680
53340.703,1355.089
53448.465,1353.158
53556.223,1353.670
53663.980,1355.006
53771.742,1355.318
53879.500,1353.739
53987.258,1353.875
54095.020,1351.524
54202.777,1348.433
54310.535,1347.354
54418.297,1350.287
54526.055,1355.423
54633.812,1359.729
54741.570,1359.000
54849.332,1356.000
54957.090,1352.073
55064.848,1352.933
55172.609,1358.692
55280.367,1357.832
55388.125,1352.900
55495.887,1349.822
55603.645,1350.690
55711.402,1358.670
55819.160,1368.755
55926.922,1373.871
56034.680,1374.874
56142.438,1369.900
56250.199,1361.970
56357.957,1358.004
56465.715,1360.021
56573.477,1362.026
56681.234,1364.037
56788.992,1364.122
56896.754,1363.181
57004.512,1363.108
57112.270,1361.125
57220.027,1358.142
57327.789,1354.212
57435.547,1356.294
57543.305,1363.452
57651.066,1368.352
57758.824,1369.000
57866.582,1367.918
57974.344,1366.263
58082.102,1367.280
