Distance_(microns),Gray_Value
0.000,1267.000
107.759,1267.991
215.518,1267.983
323.277,1264.974
431.036,1262.989
538.795,1263.028
646.554,1273.017
754.313,1292.960
862.072,1321.863
969.831,1356.667
1077.590,1378.430
1185.349,1370.467
1293.108,1342.692
1400.867,1313.926
1508.626,1297.160
1616.385,1295.214
1724.144,1295.319
1831.903,1293.387
1939.662,1291.462
2047.421,1289.433
2155.180,1287.228
2262.939,1286.000
2370.698,1284.063
2478.457,1281.066
2586.216,1275.205
2693.975,1275.214
2801.734,1279.148
2909.493,1276.923
3017.252,1271.840
3125.011,1268.083
3232.770,1265.171
3340.529,1264.912
3448.288,1267.635
3556.047,1273.530
3663.806,1275.613
3771.565,1273.801
3879.324,1271.000
3987.083,1266.422
4094.842,1265.650
4202.601,1269.333
4310.360,1273.000
4418.119,1274.000
4525.878,1270.880
4633.637,1270.632
4741.396,1272.373
4849.155,1271.103
4956.914,1270.952
5064.673,1272.330
5172.432,1270.863
5280.191,1266.000
5387.950,1261.142
5495.709,1260.145
5603.468,1261.593
5711.227,1263.057
5818.986,1266.769
5926.745,1268.627
6034.504,1270.160
6142.263,1272.000
6250.022,1274.000
6357.781,1271.336
6465.540,1264.513
6573.299,1260.000
6681.058,1266.940
6788.817,1277.103
6896.576,1280.000
7004.335,1275.556
7112.094,1266.564
7219.853,1258.809
7327.612,1258.225
7435.371,1261.410
7543.130,1258.199
7650.889,1253.011
7758.648,1253.821
7866.407,1258.416
7974.166,1266.211
8081.925,1270.214
8189.684,1264.650
8297.443,1255.658
8405.202,1251.444
8512.961,1251.675
8620.720,1254.912
8728.479,1260.231
8836.238,1262.066
8943.997,1257.818
9051.756,1253.521
9159.515,1251.758
9267.274,1252.755
9375.033,1253.744
9482.792,1254.504
9590.551,1252.014
9698.310,1251.256
9806.069,1251.259
9913.828,1250.262
10021.587,1248.000
10129.346,1245.464
10237.105,1245.188
10344.864,1247.453
10452.623,1253.276
10560.382,1260.838
10668.141,1264.564
10775.900,1259.285
10883.659,1252.288
10991.418,1249.581
11099.177,1248.293
11206.936,1246.296
11314.695,1248.197
