Distance_(microns),Gray_Value
0.000,1089.000
107.759,1103.000
215.518,1135.989
323.277,1190.906
431.036,1232.806
538.795,1241.772
646.554,1231.812
754.313,1216.860
862.072,1205.909
969.831,1200.000
1077.590,1198.114
1185.349,1195.125
1293.108,1190.103
1400.867,1190.074
1508.626,1192.120
1616.385,1197.256
1724.144,1208.228
1831.903,1213.145
1939.662,1213.051
2047.421,1218.000
2155.180,1222.829
2262.939,1221.581
2370.698,1226.561
2478.457,1233.934
2586.216,1240.137
2693.975,1239.214
2801.734,1236.074
2909.493,1240.000
3017.252,1246.239
3125.011,1245.496
3232.770,1244.342
3340.529,1246.265
3448.288,1249.547
3556.047,1250.752
3663.806,1250.581
3771.565,1251.598
3879.324,1255.821
3987.083,1260.527
4094.842,1261.325
4202.601,1258.333
4310.360,1255.228
4418.119,1250.584
4525.878,1248.718
4633.637,1249.613
4741.396,1250.376
4849.155,1251.000
4956.914,1253.869
5064.673,1257.866
5172.432,1264.000
5280.191,1266.279
5387.950,1263.427
5495.709,1257.436
5603.468,1257.741
5711.227,1266.906
5818.986,1270.923
5926.745,1267.470
6034.504,1265.840
6142.263,1266.000
6250.022,1265.330
6357.781,1264.672
6465.540,1263.855
6573.299,1260.869
6681.058,1255.530
6788.817,1250.179
6896.576,1252.182
7004.335,1260.815
7112.094,1261.436
7219.853,1261.427
7327.612,1263.613
7435.371,1264.000
7543.130,1262.801
7650.889,1260.989
7758.648,1260.359
7866.407,1258.960
7974.166,1256.368
8081.925,1255.145
8189.684,1255.917
8297.443,1256.684
8405.202,1259.333
8512.961,1259.450
8620.720,1257.684
8728.479,1256.231
8836.238,1252.766
8943.997,1247.291
9051.756,1245.521
9159.515,1249.758
9267.274,1254.490
9375.033,1256.991
9482.792,1255.752
9590.551,1250.268
9698.310,1248.282
9806.069,1249.778
9913.828,1253.048
10021.587,1254.325
10129.346,1256.339
10237.105,1262.541
10344.864,1265.547
10452.623,1262.829
10560.382,1260.117
10668.141,1258.410
10775.900,1256.709
10883.659,1256.439
10991.418,1255.291
11099.177,1252.000
11206.936,1252.407
11314.695,1255.701
11422.454,1256.698
11530.213,1255.305
11637.972,1253.923
11745.731,1256.242
11853.490,1261.000
11961.249,1265.735
12069.008,1267.043
12176.767,1263.678
12284.526,1261.675
12392.285,1262.672
12500.044,1262.339
12607.803,1259.667
12715.562,1257.672
12823.321,1261.017
12931.080,1266.000
13038.839,1270.311
13146.598,1272.652
13254.357,1273.299
13362.116,1274.587
13469.875,1273.932
13577.634,1272.923
13685.393,1271.191
13793.152,1271.177
13900.911,1269.897
14008.670,1263.000
14116.429,1258.373
14224.188,1257.624
14331.947,1255.621
14439.706,1252.236
14547.465,1253.846
14655.224,1259.225
14762.983,1260.781
14870.742,1260.393
14978.501,1262.000
15086.260,1266.803
15194.019,1269.393
15301.778,1268.382
15409.537,1267.000
15517.296,1265.051
15625.055,1265.652
15732.814,1269.832
15840.573,1274.581
15948.332,1276.157
16056.091,1276.000
16163.850,1275.427
16271.609,1272.000
16379.368,1268.567
16487.127,1268.564
16594.887,1268.123
16702.645,1267.792
16810.404,1268.444
16918.162,1266.316
17025.922,1265.100
17133.682,1266.906
17241.439,1267.912
17349.199,1272.083
17456.957,1277.615
17564.717,1278.464
17672.477,1278.934
17780.234,1282.590
17887.994,1288.217
17995.754,1291.718
18103.512,1289.650
18211.271,1284.111
18319.029,1282.578
18426.789,1285.538
18534.549,1292.000
18642.307,1296.986
18750.066,1297.000
18857.824,1299.006
18965.584,1302.989
19073.344,1308.957
19181.102,1314.407
19288.861,1314.370
19396.619,1310.385
19504.379,1305.422
19612.139,1302.407
19719.896,1297.393
19827.656,1291.476
19935.414,1291.054
20043.174,1295.590
20150.934,1300.000
20258.691,1302.322
20366.451,1303.692
20474.211,1302.670
20581.969,1298.823
20689.729,1295.906
20797.486,1292.900
20905.246,1291.789
21013.006,1291.333
21120.764,1288.442
21228.523,1287.000
21336.281,1286.308
21444.041,1282.732
21551.801,1276.860
21659.559,1276.000
21767.318,1277.425
21875.076,1278.265
21982.836,1280.838
22090.596,1284.416
22198.354,1286.587
22306.113,1285.538
22413.871,1279.926
22521.631,1278.764
22629.391,1282.795
22737.148,1284.000
22844.908,1281.000
22952.668,1279.821
23060.426,1279.658
23168.186,1277.675
23275.943,1274.615
23383.703,1272.382
23491.463,1270.484
23599.221,1272.120
23706.980,1278.254
23814.738,1282.630
23922.498,1279.265
24030.258,1274.541
24138.016,1271.915
24245.775,1268.923
24353.533,1270.932
24461.293,1276.293
24569.053,1279.000
24676.811,1277.305
24784.570,1275.655
24892.328,1273.684
25000.088,1271.678
25107.848,1273.328
25215.605,1277.000
25323.365,1277.339
25431.123,1277.672
25538.883,1277.675
25646.643,1273.390
25754.400,1271.085
25862.160,1275.103
25969.920,1278.806
26077.678,1278.826
